5, 03
4, 01
7, 03
8, 06
6, 06
10, 03
9, 05
14, 05
12, 01
15, 04
11, 09
1, 09
2, 08
13, 10
3, 07
16, 01
17, 04
20, 01
23, 05
18, 04
29, 05
28, 06
30, 02
25, 02
26, 06
19, 11
21, 09
22, 10
24, 12
27, 12
31, 05
32, 04
33, 05
35, 04
39, 05
37, 05
41, 05
34, 10
40, 08
36, 07
43, 07
38, 07
44, 10
42, 11
45, 07
48, 01
56, 06
58, 02
52, 05
54, 05
55, 06
51, 03
53, 02
59, 01
47, 12
50, 09
49, 10
60, 10
46, 08
57, 11
65, 05
67, 06
61, 01
71, 03
64, 01
75, 01
72, 05
69, 04
73, 02
62, 11
63, 12
66, 08
68, 09
70, 07
74, 09
