2, 01
11, 04
9, 04
10, 02
13, 01
5, 04
8, 01
4, 12
3, 12
1, 07
14, 11
15, 08
12, 12
7, 09
6, 09
21, 01
18, 01
26, 02
23, 04
25, 01
30, 04
27, 04
20, 12
22, 08
16, 07
24, 09
28, 11
29, 09
17, 12
19, 12
31, 04
36, 02
40, 01
43, 01
35, 01
45, 04
42, 04
33, 08
32, 07
34, 09
37, 09
39, 12
41, 11
38, 12
44, 12
46, 04
50, 02
57, 01
49, 01
51, 01
55, 04
60, 04
54, 11
52, 08
48, 12
59, 12
47, 07
56, 09
53, 09
58, 12
61, 01
69, 01
68, 04
71, 04
63, 02
66, 04
75, 01
64, 12
67, 08
74, 07
72, 09
62, 09
73, 12
70, 12
65, 11
76, 01
86, 02
87, 01
88, 04
89, 04
82, 01
78, 04
77, 12
79, 12
85, 09
84, 12
81, 07
83, 08
90, 11
80, 09
