7, 06
5, 03
3, 04
4, 01
8, 06
11, 05
1, 05
15, 03
13, 03
6, 01
2, 09
12, 07
9, 08
14, 10
10, 09
17, 01
16, 04
23, 02
20, 01
21, 05
19, 04
27, 06
25, 05
26, 02
30, 06
24, 09
18, 11
28, 10
22, 12
29, 12
31, 05
32, 05
43, 05
33, 04
38, 05
41, 05
37, 04
34, 07
36, 10
35, 11
42, 07
45, 10
40, 07
39, 07
44, 08
49, 05
48, 01
50, 03
59, 05
58, 02
53, 06
54, 06
56, 02
60, 01
46, 08
52, 10
51, 12
55, 09
57, 11
47, 10
64, 05
61, 05
69, 04
67, 01
63, 03
62, 06
75, 01
72, 01
73, 02
65, 07
70, 08
74, 09
71, 11
68, 09
66, 12
