1, 04
2, 04
4, 02
13, 01
12, 01
3, 04
8, 01
11, 12
7, 11
14, 12
5, 08
15, 12
6, 07
9, 09
10, 09
16, 01
21, 04
22, 01
24, 02
26, 04
28, 01
30, 04
18, 09
27, 12
29, 09
25, 07
20, 12
17, 11
23, 12
19, 08
33, 04
36, 04
35, 02
41, 01
38, 01
42, 04
44, 01
32, 09
31, 12
45, 09
34, 12
39, 07
40, 11
37, 08
43, 12
52, 04
50, 01
47, 01
51, 01
60, 04
59, 02
54, 04
46, 07
55, 12
53, 12
58, 09
49, 12
57, 09
56, 08
48, 11
65, 01
67, 02
64, 04
69, 01
73, 04
74, 01
70, 04
62, 09
61, 12
68, 12
63, 11
72, 12
66, 08
71, 07
75, 09
76, 01
78, 02
85, 01
79, 01
80, 04
83, 04
84, 04
77, 12
87, 09
89, 09
81, 12
86, 12
88, 07
82, 11
90, 08
